asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:22:08,119	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-4.61dB']
2018-03-12 16:22:08,120	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -4.6
2018-03-12 16:22:08,120	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d342e36f700
2018-03-12 16:22:08,120	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/2 [s] ['-4.32dB']
2018-03-12 16:22:08,120	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -4.3
2018-03-12 16:22:08,120	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014001002d342e33f700
2018-03-12 16:22:08,184	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004e205000000000000000000000000000000000000000000000000000
2018-03-12 16:22:08,184	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:08,184	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'N', ' ', 'P', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,185	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.6142578125]
2018-03-12 16:22:08,185	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,208	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-4.91dB']
